Ticker,Name,Sector,Industry,FIGI
BXMT UN Equity,Blackstone Mortgage Trust Inc,Financials,Mortgage Real Estate Investmen,BBG000BGKLN7
SIGI UW Equity,Selective Insurance Group Inc,Financials,Insurance,BBG000BSZHF3
CMO UN Equity,Capstead Mortgage Corp,Financials,Mortgage Real Estate Investmen,BBG000C2DLH2
CRD/A UN Equity,Crawford & Co,Financials,Insurance,BBG000BPVS87
LASR UW Equity,nLight Inc,Information Technology,"Electronic Equipment, Instrume",BBG00KHD9687
STC UN Equity,Stewart Information Services Corp,Financials,Insurance,BBG000D6YG35
ELOX UQ Equity,Eloxx Pharmaceuticals Inc,Health Care,Pharmaceuticals,BBG000BGGZ97
SIVB UW Equity,SVB Financial Group,Financials,Banks,BBG000BT0PL4
SMTC UW Equity,Semtech Corp,Information Technology,Semiconductors & Semiconductor,BBG000DBN4F0
LEN/B UN Equity,Lennar Corp,Consumer Discretionary,Household Durables,BBG000KKVG84
PII UN Equity,Polaris Inc,Consumer Discretionary,Leisure Products,BBG000D5S6R0
BLBD UQ Equity,Blue Bird Corp,Industrials,Machinery,BBG006427T24
SPAR UW Equity,Spartan Motors Inc,Industrials,Machinery,BBG000BTDSN2
PCTY UW Equity,Paylocity Holding Corp,Information Technology,Software,BBG0065997T5
STBA UW Equity,S&T Bancorp Inc,Financials,Banks,BBG000CKBB59
AWR UN Equity,American States Water Co,Utilities,Water Utilities,BBG000F96667
MRNS UQ Equity,Marinus Pharmaceuticals Inc,Health Care,Pharmaceuticals,BBG006GYZM98
TNC UN Equity,Tennant Co,Industrials,Machinery,BBG000JCZM32
HQY UW Equity,HealthEquity Inc,Health Care,Health Care Providers & Servic,BBG006MJJRM6
TMP UA Equity,Tompkins Financial Corp,Financials,Banks,BBG000F61HF4
LMNR UW Equity,Limoneira Co,Consumer Staples,Food Products,BBG000BDPMD8
TECH UW Equity,Bio-Techne Corp,Health Care,Life Sciences Tools & Services,BBG000C159P1
TFX UN Equity,Teleflex Inc,Health Care,Health Care Equipment & Suppli,BBG000BV5DX8
ADVM UQ Equity,Adverum Biotechnologies Inc,Health Care,Biotechnology,BBG006R62FM3
SGMS UW Equity,Scientific Games Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG00JR5MP43
BLX UN Equity,Bladex,Financials,Diversified Financial Services,BBG000CWT1J1
TRMB UW Equity,Trimble Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BNQ4W4
TRST UW Equity,TrustCo Bank Corp NY,Financials,Thrifts & Mortgage Finance,BBG000BVP4W7
TTI UN Equity,TETRA Technologies Inc,Energy,Energy Equipment & Services,BBG000BVRRZ1
UBSI UW Equity,United Bankshares Inc/WV,Financials,Banks,BBG000BVXMC0
ARW UN Equity,Arrow Electronics Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BCD5L1
UFCS UW Equity,United Fire Group Inc,Financials,Insurance,BBG000BVYGV1
PAHC UQ Equity,Phibro Animal Health Corp,Health Care,Pharmaceuticals,BBG0064MZFL8
KMPR UN Equity,Kemper Corp,Financials,Insurance,BBG000H3HJ95
HEI/A UN Equity,HEICO Corp,Industrials,Aerospace & Defense,BBG000F0CGS3
PTCT UW Equity,PTC Therapeutics Inc,Health Care,Biotechnology,BBG004KT98C5
VST UN Equity,Vistra Energy Corp,Utilities,Independent Power and Renewabl,BBG00DXDL6W4
VMI UN Equity,Valmont Industries Inc,Industrials,Construction & Engineering,BBG000BWBBX3
VICR UW Equity,Vicor Corp,Industrials,Electrical Equipment,BBG000C3VQG0
DX UN Equity,Dynex Capital Inc,Financials,Mortgage Real Estate Investmen,BBG000FBJSP9
TTEK UW Equity,Tetra Tech Inc,Industrials,Commercial Services & Supplies,BBG000BYZCW2
WTS UN Equity,Watts Water Technologies Inc,Industrials,Machinery,BBG000C4Z7X7
WBS UN Equity,Webster Financial Corp,Financials,Banks,BBG000BWMZ04
WDFC UW Equity,WD-40 Co,Consumer Staples,Household Products,BBG000BWP4F4
WERN UW Equity,Werner Enterprises Inc,Industrials,Road & Rail,BBG000BWQ0P0
FRBA UQ Equity,First Bank/Hamilton NJ,Financials,Banks,BBG000Q92GH5
WAFD UW Equity,Washington Federal Inc,Financials,Thrifts & Mortgage Finance,BBG000BWR541
JW/A UN Equity,John Wiley & Sons Inc,Communication Services,Media,BBG000DPRG86
WIRE UW Equity,Encore Wire Corp,Industrials,Electrical Equipment,BBG000CQCQJ7
WRLD UW Equity,World Acceptance Corp,Financials,Consumer Finance,BBG000C3GLV1
WSO UN Equity,Watsco Inc,Industrials,Trading Companies & Distributo,BBG000DJN962
ZBRA UW Equity,Zebra Technologies Corp,Information Technology,"Electronic Equipment, Instrume",BBG000CC8YY9
SKT UN Equity,Tanger Factory Outlet Centers Inc,Real Estate,Equity Real Estate Investment,BBG000D2JCF7
WTTR UN Equity,Select Energy Services Inc,Energy,Energy Equipment & Services,BBG00G4Y2DG7
SIG UN Equity,Signet Jewelers Ltd,Consumer Discretionary,Specialty Retail,BBG000C50012
AYX UN Equity,Alteryx Inc,Information Technology,Software,BBG00G3FD4N9
LTC UN Equity,LTC Properties Inc,Real Estate,Equity Real Estate Investment,BBG000BGCFK2
OHI UN Equity,Omega Healthcare Investors Inc,Real Estate,Equity Real Estate Investment,BBG000BGBW71
TCO UN Equity,Taubman Centers Inc,Real Estate,Equity Real Estate Investment,BBG000BGPX29
PUMP UN Equity,ProPetro Holding Corp,Energy,Energy Equipment & Services,BBG00FYCQ398
LFUS UW Equity,Littelfuse Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BGFS30
SM UN Equity,SM Energy Co,Energy,"Oil, Gas & Consumable Fuels",BBG000BFV311
CHUY UW Equity,Chuy's Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG001YR41X7
CKH UN Equity,SEACOR Holdings Inc,Energy,Energy Equipment & Services,BBG000BLFDV1
BFIN UW Equity,BankFinancial Corp,Financials,Banks,BBG000BCDFZ4
CRY UN Equity,CryoLife Inc,Health Care,Health Care Equipment & Suppli,BBG000BMLXZ4
APTS UN Equity,Preferred Apartment Communities Inc,Real Estate,Equity Real Estate Investment,BBG000BGSNR1
AKR UN Equity,Acadia Realty Trust,Real Estate,Equity Real Estate Investment,BBG000BJGG48
HOME UN Equity,At Home Group Inc,Consumer Discretionary,Specialty Retail,BBG009YVH1Z5
RGA UN Equity,Reinsurance Group of America Inc,Financials,Insurance,BBG000BDLFK9
PZZA UW Equity,Papa John's International Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000BFWPQ4
GEF UN Equity,Greif Inc,Materials,Containers & Packaging,BBG000BLFQH8
BYD UN Equity,Boyd Gaming Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000BHXCZ8
MCRI UW Equity,Monarch Casino & Resort Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure",BBG000BJ0NL1
MOV UN Equity,Movado Group Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",BBG000BL34H0
BFS UN Equity,Saul Centers Inc,Real Estate,Equity Real Estate Investment,BBG000BJ5HT1
OPK UW Equity,OPKO Health Inc,Health Care,Biotechnology,BBG000N4BHX9
MHO UN Equity,M/I Homes Inc,Consumer Discretionary,Household Durables,BBG000BL9P78
ROCK UW Equity,Gibraltar Industries Inc,Industrials,Building Products,BBG000BKQP71
AVID UW Equity,Avid Technology Inc,Information Technology,"Technology Hardware, Storage &",BBG000BHJ133
VSLR UN Equity,Vivint Solar Inc,Industrials,Electrical Equipment,BBG0071KZT88
UBER UN Equity,Uber Technologies Inc,Industrials,Road & Rail,BBG00NW4HS14
CRBP UQ Equity,Corbus Pharmaceuticals Holdings Inc,Health Care,Biotechnology,BBG0078PJLV9
UFPI UW Equity,Universal Forest Products Inc,Industrials,Building Products,BBG000BL13Y5
VRRM UR Equity,Verra Mobility Corp,Information Technology,IT Services,BBG00G4XQB95
LXP UN Equity,Lexington Realty Trust,Real Estate,Equity Real Estate Investment,BBG000BL34D4
ONTO UN Equity,Onto Innovation Inc,Information Technology,Semiconductors & Semiconductor,BBG000BPRQ59
FFIN UW Equity,First Financial Bankshares Inc,Financials,Banks,BBG000BL8CY8
FWRD UW Equity,Forward Air Corp,Industrials,Air Freight & Logistics,BBG000BRCSD8
HAIN UW Equity,Hain Celestial Group Inc/The,Consumer Staples,Food Products,BBG000BQW8R7
MAA UN Equity,Mid-America Apartment Communities Inc,Real Estate,Equity Real Estate Investment,BBG000BLMZS8
TWLO UN Equity,Twilio Inc,Information Technology,IT Services,BBG00D0HCDS1
SHOO UW Equity,Steven Madden Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",BBG000BLVFL9
TSCO UW Equity,Tractor Supply Co,Consumer Discretionary,Specialty Retail,BBG000BLY8F9
PLT UN Equity,Plantronics Inc,Information Technology,Communications Equipment,BBG000BH9CL0
MED UN Equity,Medifast Inc,Consumer Staples,Personal Products,BBG000BWBY63
CPRT UW Equity,Copart Inc,Industrials,Commercial Services & Supplies,BBG000BMB210
DAKT UW Equity,Daktronics Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BMCJS3
ALB UN Equity,Albemarle Corp,Materials,Chemicals,BBG000BJ27W2
IDEX UR Equity,Ideanomics Inc,Information Technology,Software,BBG000BM2X12
TBI UN Equity,TrueBlue Inc,Industrials,Professional Services,BBG000BP6CN3
ESQ UR Equity,Esquire Financial Holdings Inc,Financials,Banks,BBG00GV160H2
DSPG UW Equity,DSP Group Inc,Information Technology,Semiconductors & Semiconductor,BBG000BGMNT5
BPFH UW Equity,Boston Private Financial Holdings Inc,Financials,Banks,BBG000BMBRM2
MINI UW Equity,Mobile Mini Inc,Industrials,Commercial Services & Supplies,BBG000BGV7C8
DAR UN Equity,Darling Ingredients Inc,Consumer Staples,Food Products,BBG000BN91F8
SCSC UW Equity,ScanSource Inc,Information Technology,"Electronic Equipment, Instrume",BBG000BHV1H4
